dataset,ablation,method,metric,value
120k,zkp,LLM Simulator,f1,0.7585372597815567
120k,zkp,Ensemble,f1,0.9318863239216408
120k,zkp,ZKP Framework,accuracy,0.8704303766344389
120k,zkp,Regex Baseline,accuracy,0.9074966850198021
120k,zkp,LLM Simulator,accuracy,0.815959324534366
120k,zkp,Ensemble,accuracy,0.9349649182890312
120k,zkp,ZKP Framework,specificity,0.93015
120k,zkp,Regex Baseline,specificity,0.93015
120k,zkp,LLM Simulator,specificity,1.0
120k,zkp,Ensemble,specificity,0.93015
120k,zkp,ZKP Framework,sensitivity,0.8039237522504965
120k,zkp,Regex Baseline,sensitivity,0.8822688716892181
120k,zkp,LLM Simulator,sensitivity,0.6110028398017707
120k,zkp,Ensemble,sensitivity,0.9403270412235276
120k,zkp,ZKP Framework,avg_detection_time,5.902676597536325e-05
120k,zkp,Regex Baseline,avg_detection_time,7.20426906206927e-05
120k,zkp,LLM Simulator,avg_detection_time,6.749906398972476e-05
120k,zkp,Ensemble,avg_detection_time,0.00020284912406304815
120k,llm,ZKP Framework,precision,0.9193976459727672
120k,llm,Regex Baseline,precision,0.9189753504108265
120k,llm,LLM Simulator,precision,0.0
120k,llm,Ensemble,precision,0.9235707121364092
120k,llm,ZKP Framework,recall,0.8872988473745754
120k,llm,Regex Baseline,recall,0.8822688716892181
120k,llm,LLM Simulator,recall,0.0
120k,llm,Ensemble,recall,0.939992946897563
120k,llm,ZKP Framework,f1,0.9030631039075118
120k,llm,Regex Baseline,f1,0.9002481013617166
120k,llm,LLM Simulator,f1,0.0
120k,llm,Ensemble,f1,0.9317094708955773
120k,llm,ZKP Framework,accuracy,0.9098764456387155
120k,llm,Regex Baseline,accuracy,0.9074966850198021
120k,llm,LLM Simulator,accuracy,0.526884269870123
120k,llm,Ensemble,accuracy,0.9348068530080701
120k,llm,ZKP Framework,specificity,0.93015
120k,llm,Regex Baseline,specificity,0.93015
120k,llm,LLM Simulator,specificity,1.0
120k,llm,Ensemble,specificity,0.93015
120k,llm,ZKP Framework,sensitivity,0.8872988473745754
120k,llm,Regex Baseline,sensitivity,0.8822688716892181
120k,llm,LLM Simulator,sensitivity,0.0
120k,llm,Ensemble,sensitivity,0.939992946897563
120k,llm,ZKP Framework,avg_detection_time,8.952697518010519e-05
120k,llm,Regex Baseline,avg_detection_time,6.060919269273112e-05
120k,llm,LLM Simulator,avg_detection_time,6.10696763509179e-08
120k,llm,Ensemble,avg_detection_time,0.00017280896931824648
